airline_code,airline_name,sigle,registration,aircraft_type_detail,aircraft_type_code,serial_number,age,total_fleet_size
emc,247 Aviation,EMC,G-ISJE,Pilatus PC-12 NGX,DA62,N/A,N/A,4
emc,247 Aviation,EMC,G-LUSO,Pilatus PC-12 NG,DA62,N/A,N/A,4
bro,2Excel Aviation,BRO,G-OSRA,Boeing 727-2S2F(RE),B350,N/A,N/A,24
bro,2Excel Aviation,BRO,G-OSRB,Boeing 727-2S2F(RE),B350,N/A,N/A,24
bro,2Excel Aviation,BRO,G-SWRD,Boeing 737-3L9,B722,N/A,N/A,24
bro,2Excel Aviation,BRO,G-NEWG,Boeing 737-76N,B733,N/A,N/A,24
bro,2Excel Aviation,BRO,G-FTAI,Boeing 757-256,B737,N/A,N/A,24
bro,2Excel Aviation,BRO,G-CIFE,Beech King Air B200,B752,N/A,N/A,24
bro,2Excel Aviation,BRO,G-IASM,Beech 200 Super King Air,B752,N/A,N/A,24
bro,2Excel Aviation,BRO,G-IMEA,Beech 200 Super King Air,B752,N/A,N/A,24
bro,2Excel Aviation,BRO,G-JASS,Beech B200 Super King Air,B752,N/A,N/A,24
bro,2Excel Aviation,BRO,G-WCCP,Beech B200 Super King Air,B752,N/A,N/A,24
bro,2Excel Aviation,BRO,G-HMGD,Diamond DA62,BE20,N/A,N/A,24
bro,2Excel Aviation,BRO,G-HMGE,Diamond DA62,BE20,N/A,N/A,24
bro,2Excel Aviation,BRO,G-ZEAA,Diamond DA62,BE20,N/A,N/A,24
bro,2Excel Aviation,BRO,G-OFFO,Extra EA-300/L,DA62,N/A,N/A,24
bro,2Excel Aviation,BRO,G-ZXCL,Extra EA-300/L,DA62,N/A,N/A,24
bro,2Excel Aviation,BRO,G-ZXEL,Extra EA-300/L,DA62,N/A,N/A,24
bro,2Excel Aviation,BRO,G-ZXLL,Extra EA-300/L,DA62,N/A,N/A,24
bro,2Excel Aviation,BRO,G-BEZL,Piper Navajo C,E300,N/A,N/A,24
bro,2Excel Aviation,BRO,G-BPYR,Piper Navajo C,E300,N/A,N/A,24
bro,2Excel Aviation,BRO,G-OUCP,Piper Navajo C,E300,N/A,N/A,24
bro,2Excel Aviation,BRO,G-RHYM,Piper Navajo B,E300,N/A,N/A,24
bro,2Excel Aviation,BRO,G-UKCS,Piper Navajo B,E300,N/A,N/A,24
bro,2Excel Aviation,BRO,G-UMMI,Piper Navajo C,E300,N/A,N/A,24
fe-iho,748 Air Services,FE / IHO,5Y-IHO,De Havilland Canada Dash 8-100,C208,N/A,N/A,6
fe-iho,748 Air Services,FE / IHO,5Y-RHM,De Havilland Canada Dash 8-100,C208,N/A,N/A,6
fe-iho,748 Air Services,FE / IHO,5Y-SMJ,De Havilland Canada Dash 8-400,DH8A,N/A,N/A,6
fe-iho,748 Air Services,FE / IHO,5Y-VVI,De Havilland Canada Dash 8-400,DH8A,N/A,N/A,6
aq-jyh,9 Air,AQ / JYH,B-1172,Boeing 737-86X,B38M,N/A,N/A,27
aq-jyh,9 Air,AQ / JYH,B-1233,Boeing 737-86X,B38M,N/A,N/A,27
aq-jyh,9 Air,AQ / JYH,B-1472,Boeing 737-86X,B38M,N/A,N/A,27
aq-jyh,9 Air,AQ / JYH,B-1473,Boeing 737-86X,B38M,N/A,N/A,27
aq-jyh,9 Air,AQ / JYH,B-1551,Boeing 737-86X,B38M,N/A,N/A,27
aq-jyh,9 Air,AQ / JYH,B-1552,Boeing 737-86X,B38M,N/A,N/A,27
aq-jyh,9 Air,AQ / JYH,B-1553,Boeing 737-86X,B38M,N/A,N/A,27
aq-jyh,9 Air,AQ / JYH,B-1556,Boeing 737-86X,B38M,N/A,N/A,27
aq-jyh,9 Air,AQ / JYH,B-1592,Boeing 737-86X,B38M,N/A,N/A,27
aq-jyh,9 Air,AQ / JYH,B-1715,Boeing 737-8GP,B38M,N/A,N/A,27
aq-jyh,9 Air,AQ / JYH,B-1716,Boeing 737-8GP,B38M,N/A,N/A,27
aq-jyh,9 Air,AQ / JYH,B-1719,Boeing 737-8GP,B38M,N/A,N/A,27
aq-jyh,9 Air,AQ / JYH,B-208K,Boeing 737-86X,B38M,N/A,N/A,27
aq-jyh,9 Air,AQ / JYH,B-220S,Boeing 737-86N,B38M,N/A,N/A,27
aq-jyh,9 Air,AQ / JYH,B-220Y,Boeing 737-86N,B38M,N/A,N/A,27
aq-jyh,9 Air,AQ / JYH,B-221M,Boeing 737-86N,B38M,N/A,N/A,27
aq-jyh,9 Air,AQ / JYH,B-6989,Boeing 737-86N,B38M,N/A,N/A,27
aq-jyh,9 Air,AQ / JYH,B-6990,Boeing 737-86N,B38M,N/A,N/A,27
aq-jyh,9 Air,AQ / JYH,B-6991,Boeing 737-86N,B38M,N/A,N/A,27
aq-jyh,9 Air,AQ / JYH,B-6992,Boeing 737-86N,B38M,N/A,N/A,27
aq-jyh,9 Air,AQ / JYH,B-7105,Boeing 737-84P,B38M,N/A,N/A,27
aq-jyh,9 Air,AQ / JYH,B-7113,Boeing 737-84P,B38M,N/A,N/A,27
