company_name,linkedin_url,description,fleet_size
21 Air,https://linkedin.com/company/21air,"21 AIR is a certificated United States PART 121 All Cargo Carrier, with full SMS implementation compliance, under newly established commercial aviation ...",2
247 Aviation,https://linkedin.com/company/247-aviation,"247 Aviation responds to medical emergencies throughout the world, 24 hours a day, 365 days a year ensuring we are here for you at a time when you need it most.",4
2Excel Aviation,https://linkedin.com/company/2excel-group,"Founded in 2005 by two former Royal Air Force pilots, 2Excel has grown from five people and four aerobatic aircraft to a fleet of 30+, with more than 300 people ...",24
30 West Jets,https://linkedin.com/company/slate-aviation,"Tri State Charter, marketed as Slate Aviation, is one of the nation's largest operators of Challenger 850 and VIP Bombardier Regional Jet aircraft.",1
4Airways,https://linkedin.com/company/4-airways,"4Airways is a startup airline focused on Wet Leasing and ACMI services, designed to cater to a wide range of aviation requirements.",3
748 Air Services,https://linkedin.com/company/748-air-services-k-ltd,"748 Air Services is an air operating company and holds an Air Operating Certificate, Air Service Licence and an imbedded Aircraft Maintenance Organization ...",6
7Air Cargo,https://linkedin.com/company/7air-cargo,"At 7Air, our unwavering dedication to providing dependable cargo services extends beyond mere promises; it's a mission deeply ingrained in our ethos.",3
9 Air,https://linkedin.com/company/%E4%B9%9D%E5%85%83%E8%88%AA%E7%A9%BA%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,"9 Air is an airline in China, headquartered in Guangzhou. Website: http://www.9air.com. External link for 9 Air Co., ...",27
Abakan Air,https://linkedin.com/company/blacklist-aero,"number RA-76370 of ABAKAN AIR (PUMV FZE) arrived from Uganda to OMDW ... IMPORTANT NOTE: Abakan Air was designated by the U.S. OFAC on June 12, 2024 ...",5
Abu Dhabi Aviation,https://linkedin.com/company/abu-dhabi-aviation/,"Abu Dhabi Aviation (ADA) stands out as a global leader in aviation, truly a UAE Champion on a World stage. ADA offers a comprehensive range of services for ...",14
ABX Air,https://linkedin.com/company/abx-air-inc.,"ABX Air is an FAR Part 121 cargo airline flying express cargo routes for customers in the US and around the world, offering customized charter services.",11
ACASS Ireland,https://linkedin.com/company/acass,"ACASS is a leading worldwide provider of best-in-class business aviation support services, including aircraft sales, aircraft management, flight crew staffing ...",2
Advanced Air,https://linkedin.com/company/advancedairlines,"Advanced Air, LLC is an innovative, service-oriented aviation company headquartered in Hawthorne, California, approximately three miles from LAX.",23
Advanced Flight Training,https://linkedin.com/company/advanced-flight-training-leasing,"Advanced Flight Training and Leasing offers seaplane training at your location, in your aircraft. We are part of Wipaire, the world's leading manufacturer of ...",5
Aegean Airlines,https://linkedin.com/company/aegean-airlines,"AEGEAN connects every corner of Greece with 180 destinations, in 49 countries with 307 routes and a total fleet of 76 aircraft, including the brand-new Airbus ...",68
Aegean Executive,https://linkedin.com/company/e-mba-programme---university-of-the-aegean,"Το Πρόγραμμα εστιάζει στους τομείς της Ελεγκτικής – Εταιρικής Διακυβέρνησης, της Διοικητικής Επιστήμης, της Διοίκησης και Οργάνωσης Επιχειρήσεων και της ...",2
Aer Lingus,https://linkedin.com/company/aer-lingus,"Aer Lingus is the national airline of Ireland, founded in 1936. It operates a modern aircraft fleet to destinations in the UK, Europe and North America.",80
AerCaribe Cargo,https://linkedin.com/company/aercaribe/,"La Empresa se enfoca en la prestación de servicios de transporte aéreo de vuelos cargo y charter en Latinoamérica y el Caribe, también prestamos servicio de ...",4
Aero,https://linkedin.com/company/aero-fabrications-limited,Aero Fabrications Limited is a privately owned business located in the heart of the United Kingdom. We specialise in the manufacture of precision fabricated ...,7
Aero,https://linkedin.com/company/goaero,"Aero, a next generation air travel company, is building a seamless way to travel to the best leisure destinations in the world.",7
Aero Asahi,https://linkedin.com/company/aero-asahi-corporation,"AERO ASAHI CORPORATION which is holding by TOYOTA Motor Co.rporation. The following division are consisted, Aviation Business and Special Information ...",39
Aero Charter,https://linkedin.com/company/aero-charter,"With over 40 years experience, Aero Charter provides remarkable customer care in Aircraft Charter, Aircraft Sales and Management, FBO Service, Avionics, and ...",13
Aero Charter and Transport,https://linkedin.com/company/aero-charter,"Aero Charter is your total aviation solution. With over 40 years experience, Aero Charter provides remarkable customer care in Aircraft Charter, ...",2
Aero Clube de Coimbra,https://linkedin.com/company/anac---autoridade-nacional-da-avia%C3%A7%C3%A3o-civil,"A Autoridade Nacional da Aviação Civil (ANAC) é a autoridade nacional em matéria de aviação civil, pessoa coletiva de direito público, com a natureza de ...",1
Aero Coatl Mexicano,,,1
Aero Dili,https://linkedin.com/company/aero-dili,"Aero Dili or Aero Dili Service Transport, SA was established in 2017 and received an Air Operator Certificate in 2018 and operates and serves domestic flights ...",2
Aero K,https://linkedin.com/company/aero-k-airlines,"에어로케이 다움 우리는 긍정의 에너지와 즐거움을 나누기 위해 보살핌과 신뢰, 그리고 기술에 기반한 서비스로 사람, 장소(커뮤니티), 파트너들을 연결합니다.",7
Aero Mongolia,https://linkedin.com/company/aero-mongolia,"Established in 2001 as Mongolia's first privately owned airline, we take great pride in providing our valued customers with exceptional air travel experiences.",5
Aero Nomad,https://linkedin.com/company/aero-nomad-airlines,Aero Nomad Airlines is a Kyrgyz airline established in 2021. One of the priorities of «Aero Nomad Airlines» is the operation of comfortable Western-made Airbus ...,2
Aero Sotravia,https://linkedin.com/company/air-marine,"AERO SOTRAVIA. Movies, Videos, and Sound. Alexandria, cestovní kancelář. Leisure, Travel & Tourism. Rectimo Aviation SAS. Aviation and Aerospace Component ...",5
Aero Tak,https://linkedin.com/company/aero-tak-limited,"AERO TAK LIMITED. Airlines and Aviation. Abuja, Abuja 486 followers. We bring good things to life. Follow · Report this company; Close menu.",1
Aero Ways,https://linkedin.com/company/aerowise,What We Do: ✔️Tailored international trip support services ✔️Aviation procurement ✔️Aircraft Charter Broker ✔️Ground handling services ✔️Overflight and landing ...,6
Aero-Beta Flight Training,https://linkedin.com/company/flugbetrieb-aero-beta,Insgesamt besteht unser Team aus mehr als 100 Fluglehrern an allen vier Standorten. Diese begleiten und unterstützen Sie bei Ihrer Ausbildung und geben ihre ...,12
Aero-Dienst,https://linkedin.com/company/aero-dienst/,"With a 65-year track record in maintaining, operating, selling and managing a wide range of business and ambulance aircraft, Aero-Dienst is considered one of ...",5
Aero-Tech Services,https://linkedin.com/company/aero-tech-services-inc-,"Aero-Tech Services, Inc. is a “Learn-to-Fly” Part 141 flight school, air charter, and airplane maintenance center located at the Lancaster, Pennsylvania (KLNS) ...",4
Aeroclub Barcelona-Sabadell,https://linkedin.com/company/aeroclub-barcelona-sabadell,"With more than 1000 members, and founded in 1953, the Aeroclub Barcelona-Sabadell is the largest flying club in Spain and the second in Europe.",14
Aerodynamics Academy,https://linkedin.com/company/aerodynamicsacademy,"Aerodynamics Academy es, desde su creación en 1998, una de las principales Escuelas de Formación Aeronáutica Oficial del sur de España.",17
Aeroflot,https://linkedin.com/company/aeroflot---russian-airlines/,"Aeroflot is Russia's de facto National carrier and largest Airline. Founded on March 17, 1923, Aeroflot is among the world's oldest airlines and one of Russia's ...",169
AeroGuard Flight Training Center,https://linkedin.com/company/aeroguard-flight-training-center,"AeroGuard Flight Training Center is THE Commercial Pilot School, training and preparing future commercial airline pilots for careers at the world's leading ...",113
Aeroitalia,https://linkedin.com/company/aeroitalia/,"Locations · Primary. Viale Cesare Pavese, 8. Rome, 00144, IT. Get directions · Aeroporto Roma Fiumicino ""Leonardo Da Vinci"". Fiumicino , Italia 00054, IT. Get ...",13
Aerolineas Argentinas,https://linkedin.com/company/aerolineas-argentinas,Aerolíneas Argentinas es la compañía líder en el mercado aerocomercial argentino y referente en la región desde 1950. Su flota de 84 aviones alcanza 38 destinos ...,84
Aerolineas Ejecutivas,https://linkedin.com/company/aerolineas-ejecutivas,"Con una distinguida trayectoria de 55 años, Aerolíneas Ejecutivas ha alcanzado reconocimiento internacional al fungir como representante exclusivo en México de ...",26
Aerolineas Sosa,https://linkedin.com/company/aerol%C3%ADneas-sosa,Website: http://www.aerolineasosahn.com/. External link for Aerolíneas Sosa. Locations. Get directions. Employees at Aerolíneas Sosa.,4
AeroLogic,https://linkedin.com/company/aerologic,"Established in September 2007, AeroLogic's first plane took off in the summer of 2009 with the fleet eventually comprising 8 brand-new Boeing 777F's. The ...",14
Aeromas,https://linkedin.com/company/aeromas-sas,"Somos una empresa colombiana especializada exclusivamente en el transporte aéreo medicalizado para pacientes adultos, obstétricas, pediátricos y neonatales ...",2
Aeromexico,https://linkedin.com/company/aeromexico,"As a founding member of the SkyTeam airline alliance, Aeromexico offers customers more than 1,000 destinations in 177 countries served by the 20 ...",125
Aeromexico Connect,https://linkedin.com/company/aeromexico,"Aeromexico, Mexico's global airline, operates more than 600 daily flights and has its main hub in Terminal 2 of the Mexico City International ...",36
Aeronaves TSM,https://linkedin.com/company/tsm-connect-sa-de-cv,"TSM Connect. Transportation, Logistics, Supply Chain and Storage. Zona Centro, Coahuila 259 followers. Follow · Report this company; Close menu.",97
Aeropapa,,,1
Aeropartner,https://linkedin.com/company/aeropartner,Aeropartner a.s. | 721 followers on LinkedIn. We are well-established air charter company founded in 2001. We dispose of a fleet of fast and cosy bizjet ...,9
Aeropyrenees,https://linkedin.com/company/aero-pyrenees-maintenance,"AERO PYRENEES MAINTENANCE is an aviation & aerospace company based out of Aéroport Tarbes Lourdes Pyrénées, Juillan, France. Website: https://www.",13
Aeroregional,https://linkedin.com/company/aeroregional,Página Oficial de Aeroregional Ecuador Somos #TuLíneaAérea ¡YA ESTAMOS VOLANDO! VENTA DE BOLETOS: www.aeroregional.net CALL CENTER: 02 393 0360.,4
Aerosafin,https://linkedin.com/company/keyworld-it,"Commercial Director, en AEROSAFIN -… Click here to view Michał Guz's profile. Michał Guz. Junior Java Developer. See all employees. Similar pages. FGM INOX ...",3
Aeroservicios de la Costa,https://linkedin.com/company/aerologistica-aviation-services,"Nos especializamos en proporcionar servicios completos de apoyo en tierra para vuelos de pasajeros, ejecutivos y chárter que operan en Costa Rica. Con más de 20 ...",8
Aerostan,https://linkedin.com/company/aerostan-aircompany,"AeroStan Air Company is an on-demand non-scheduled air cargo airline, which specializes in operating high-density – high-demand wide-body freighter aircrafts.",3
Aerosucre,https://linkedin.com/company/aerosucre,Aerosucre líder en el transporte de carga aérea con más de 53 años de operación en Colombia y algunos países de Latinoamérica. Su sede central opera en Bogotá ...,7
Aerotec,https://linkedin.com/company/aerospace-testing-engineering-&-certification-l-l-c-,"AeroTEC develops, tests and certifies new aircraft products using innovative and scalable development, test and certification techniques.",13
Aerotours,https://linkedin.com/company/aerotours-gmbh-verkehrspilotenschule,"AEROTOURS GmbH Verkehrspilotenschule is an airlines/aviation company based out of Flugplatzstr. 12, Strausberg, Strausberg, Germany.",3
Aerotranscargo,https://linkedin.com/company/aerotranscargo,"AeroTransCargo (airline code ATG/F5) is a cargo airline holding a Moldovan AOC, with its operational office based in the UAE. It operates five Boeing 747-400s ...",3
Aeroturpial,,,2
Aerovias DAP,https://linkedin.com/company/aerov%C3%ADas-dap,"Aerovías DAP | 3582 seguidores en LinkedIn. La Línea Aérea de la Patagonia y Antártica. Empresa líder en logística, transporte de pasajeros y turismo.",11
Aerovis Airlines,https://linkedin.com/company/aerovis,"AeroVis offers aviation, cargo transportation around the world. Rental, sale, charter and aircraft management from Europe, Asia, India, to Australia, South and ...",1
Aeroways,https://linkedin.com/company/aeroways-gmbh,"aeroways GmbH | 99 Follower:innen auf LinkedIn. High Class Travelling | Your competent partner for aircraft management, sales and operation.",11
Aerowest,https://linkedin.com/company/aerowest/,"Aerowest GmbH | 491 followers on LinkedIn. HighRes Aerial Images and Geodata | Aerial Imaging, GIS, Digital Mapping, 3D City Models.",13
Aerus,https://linkedin.com/company/aerus,"Aerus has a rich history dating back to 1924 and is known for excellence in our innovative technologies, unmatched service, and endless accomplishments.",7
Africa Airlines,https://linkedin.com/company/africa-world-airlines-limited,Africa World Airlines Limited (AWA) is a private-sector Ghanaian airline that operates from a base in Accra. The airline is a joint venture between HNA Group/ ...,2
Africa Charter Airline,https://linkedin.com/company/alexandria-airlines,"It operates scheduled and worldwide charter services flights, mainly to the Middle East, Europe and Africa. It also provides wet lease services to major ...",6
Africa World Airlines,https://linkedin.com/company/africa-world-airlines-limited,Africa World Airlines Limited (AWA) is a private-sector Ghanaian airline that operates from a base in Accra. The airline is a joint venture between HNA ...,8
African Express Airways,https://linkedin.com/company/african-express-airways,Sito Web: http://www.africanexpress.net. Link esterno per African Express Airways ; Settore: Linee aeree e aviazione ; Dimensioni dell'azienda: 51-200 dipendenti.,2
Afrijet,https://linkedin.com/company/afrijet-business-service,Afrijet Business Service | 14190 followers on LinkedIn. Le Coeur de l'Afrique vous est ouvert | Afrijet aims to be the Central Africa's reference regional ...,5
Afriqiyah Airways,https://linkedin.com/company/afriqiyah-airways,Afriqiyah Airways was founded on April 2001. It started its operations on 1st December 2001 with leased Aircrafts. During the Paris Air Show in 2006 ...,9
Aims Community College Aviation,https://linkedin.com/company/preflight-aviation-camp,"PreFlight is a summer camp for girls that uses aviation to transform their beliefs about gender roles, increase their self-esteem, and inspire them to become ...",18
Air 1st Aviation,https://linkedin.com/company/first-class-aviation-services,"First Class Aviation Services (FCAS) is a Saudi Owned Maintenance, Repair and Overhaul organisation, with state-of-the art technology, established to serve ...",2
Air Adelphi,https://linkedin.com/company/adelphi,"adelphi is the leading independent think-and-do tank in Europe for climate, environment and development. We are some 330 strategists, thought leaders and ...",5
Air Albania,https://linkedin.com/company/air-albania,"Air Albania is the national flag carrier airline of Albania, offering Albanians new destinations, reasonable prices and quality service.",1
Air Algerie,https://linkedin.com/company/airalg%C3%A9rie,"Air Algérie is the national airline. Air Algerie has produced an excellent commercial performance, according to the Medium-Term plan, it carries more than five ...",56
